p_code,p_name,start_date,earning,earn_7d,earn_14d,earn_28d,earn_35d,path_1m,path_3m,path_6m,path_1y,strat_money
3753,工银如意货币B,2019-01-17,0.8334,3.121,3.3227,3.3458,3.2765,0.2757,0.8012,1.7394,3.9972,10000000
4771,海富通添益货币B,2019-01-17,0.8062,2.969,3.8403,3.7677,3.632,0.3107,0.8054,1.7061,4.007,5000000
2884,华润元大现金通货币B,2019-01-17,0.7327,2.962,3.0956,3.0815,3.0233,0.2559,0.7729,1.679,4.0148,5000000
3792,民生加银现金宝货币C,2019-01-17,0.8998,3.621,3.6601,3.3742,3.3576,0.2812,0.8457,1.8013,4.0163,100
202308,南方收益宝货币B,2019-01-17,0.8743,3.3,3.2978,3.2408,3.2165,0.2699,0.8452,1.7913,4.0166,100
648,易方达财富快线货币B,2019-01-17,0.8858,3.31,3.3441,3.3602,3.3209,0.2796,0.8255,1.7784,4.0274,5000000
662,银华活钱宝货币F,2019-01-17,0.8435,3.183,3.3535,3.5772,3.563,0.3016,0.8143,1.7769,4.0284,100
891,博时现金宝货币B,2019-01-17,0.9147,3.432,3.4599,3.3891,3.447,0.2828,0.8349,1.7766,4.0292,100
3871,华泰柏瑞天添宝货币B,2019-01-17,0.8667,3.313,3.5225,3.5848,3.5223,0.2975,0.8277,1.7565,4.0323,100
5148,新华活期添利货币E,2019-01-17,0.8691,3.244,3.3666,3.3366,3.3112,0.2796,0.827,1.7957,4.0354,100
2680,工银安盈货币B,2019-01-17,0.7428,2.676,2.662,3.1671,3.0808,0.2667,0.7202,1.634,4.0355,30000000
836,国投瑞银钱多宝货币A,2019-01-17,0.8886,3.326,3.4103,3.3561,3.3178,0.2794,0.8181,1.7886,4.0364,100
837,国投瑞银钱多宝货币I,2019-01-17,0.8886,3.326,3.4103,3.3561,3.3178,0.2794,0.8181,1.7886,4.0365,100
1666,鹏华添利宝货币,2019-01-17,0.8682,3.12,3.2941,3.3136,3.3168,0.2774,0.8388,1.7965,4.0555,100
4718,万家天添宝货币B,2019-01-17,0.8706,3.206,3.6794,3.4778,3.4501,0.2902,0.8498,1.8146,4.0672,30000000
4167,安信活期宝货币B,2019-01-17,0.8752,3.276,3.3229,3.3092,3.3626,0.2807,0.8491,1.7923,4.0749,5000000
3264,新华活期添利货币B,2019-01-17,0.8802,3.285,3.4081,3.3782,3.3529,0.2831,0.8373,1.8162,4.077,5000000
4972,长城收益宝货币A,2019-01-17,0.8516,3.283,3.425,3.4042,3.3744,0.2845,0.8322,1.8229,4.0868,100
4545,永赢天天利货币,2019-01-17,0.7627,3.357,3.4633,4.2003,4.0693,0.3495,0.9152,1.8758,4.1009,100
5151,红土创新优淳货币B,2019-01-17,0.7698,2.684,4.414,4.5848,4.3146,0.3766,0.8538,1.7472,4.1017,5000000
3474,南方天天利货币B,2019-01-17,0.9171,3.401,3.4132,3.4449,3.4464,0.2883,0.8543,1.842,4.1452,100
4137,博时合惠货币B,2019-01-17,0.9255,3.431,3.4677,3.539,3.5686,0.2953,0.8716,1.833,4.1494,5000000
4417,兴全货币B,2019-01-17,0.8284,3.282,3.2912,3.3285,3.3254,0.2837,0.8366,1.7852,4.1563,5000000
3538,招商招利宝货币B,2019-01-17,0.8833,3.347,3.4428,3.7756,3.6805,0.3122,0.8655,1.843,4.1798,50000
4973,长城收益宝货币B,2019-01-17,0.9166,3.529,3.6732,3.6528,3.6231,0.305,0.8934,1.9462,4.3363,100
