p_code,p_name,start_date,earning,earn_7d,earn_14d,earn_28d,earn_35d,path_1m,path_3m,path_6m,path_1y,strat_money
320019,诺安货币B,2019-01-17,0.7223,2.55,2.6007,2.9699,2.8411,0.2464,0.6721,1.4048,3.3547,5000000
2234,泰信天天收益货币B,2019-01-17,0.6042,1.901,3.4262,3.6423,3.3797,0.2996,0.7055,1.4157,3.3564,3000000
750006,安信现金管理货币A,2019-01-17,0.6673,2.451,2.502,2.7889,2.8826,0.2348,0.6688,1.4153,3.362,100
213009,宝盈货币A,2019-01-17,0.669,2.796,2.8592,2.9782,2.8894,0.244,0.6745,1.4041,3.3622,100
2672,诺德货币A,2019-01-17,0.6429,2.341,2.5204,2.7645,2.736,0.2392,0.6436,1.382,3.3633,100
1101,银华惠添益货币,2019-01-17,0.6543,2.404,2.4208,2.6278,2.6152,0.22,0.6487,1.6472,3.364,100
519505,海富通货币A,2019-01-17,0.7418,2.595,2.6609,2.8317,2.8361,0.2431,0.6825,1.4192,3.3671,100
163802,中银货币A,2019-01-17,0.5441,1.99,2.6979,3.4021,3.1437,0.2785,0.6482,1.3994,3.368,100
548,鹏华聚财通货币,2019-01-17,0.695,2.52,2.5719,2.678,2.813,0.2397,0.6716,1.3542,3.3691,10
2759,东兴安盈宝A,2019-01-17,0.7268,2.693,2.8249,3.0229,2.941,0.2556,0.6806,1.4389,3.3697,100
615,长城工资宝货币A,2019-01-17,0.6422,2.401,2.6298,2.8095,2.7328,0.2301,0.6389,1.3637,3.3713,100
980,汇添富添富通货币B,2019-01-17,0.8096,2.954,3.1113,3.417,3.3875,0.2866,0.8075,1.5371,3.3714,5000000
420006,天弘现金管家货币A,2019-01-17,0.7487,2.856,2.8744,2.8869,2.8803,0.2387,0.7122,1.3829,3.3737,1000
3228,浦银安盛日日鑫货币A,2019-01-17,0.6723,2.527,2.5807,2.9176,2.8865,0.2439,0.6776,1.3992,3.3747,100
2847,天弘现金管家货币E,2019-01-17,0.7502,2.859,2.8775,2.8906,2.8845,0.239,0.7155,1.3862,3.3758,100
3589,东吴增鑫宝货币B,2019-01-17,0.6235,2.236,2.1497,2.6711,2.685,0.2258,0.6553,1.4062,3.3782,5000000
1624,兴业添天盈货币A,2019-01-17,0.5419,2.364,2.6504,3.0087,2.8187,0.2426,0.6771,1.4234,3.3799,100
2647,中科沃土货币B,2019-01-17,0.702,2.83,3.3846,3.543,3.3823,0.2932,0.6852,1.4564,3.3812,5000000
2184,泓德泓利货币A,2019-01-17,0.6553,2.344,2.3644,3.257,3.1324,0.2697,0.6878,1.4048,3.3878,100
3422,国寿安保添利货币A,2019-01-17,0.6708,2.401,2.4571,2.7038,2.6733,0.2256,0.6449,1.3711,3.3878,100
350004,天治天得利货币,2019-01-17,0.6245,2.292,2.4932,2.7285,2.7544,0.2246,0.6412,1.3699,3.3895,1000
2709,红塔红土人人宝货币A,2019-01-17,0.7239,2.648,2.7608,2.7176,2.7008,0.2274,0.6709,1.3975,3.3919,100
4865,格林货币A,2019-01-17,0.6797,2.489,2.5814,3.3673,3.2843,0.275,0.746,1.4006,3.3942,100
871,北信瑞丰宜投宝A,2019-01-17,0.8218,2.885,2.8659,2.9919,2.9072,0.2454,0.6765,1.4564,3.3947,100
740601,长安货币A,2019-01-17,0.681,2.426,2.6792,3.1062,3.0955,0.2605,0.6999,1.4055,3.3956,100
901,国开货币A,2019-01-17,0.5959,2.206,2.5465,2.6154,2.5299,0.2192,0.6406,1.4274,3.3959,100
200003,长城货币A,2019-01-17,0.8103,2.849,2.8692,3.0131,2.9894,0.254,0.6896,1.4451,3.4016,100
4178,圆信永丰丰润货币A,2019-01-17,0.3013,1.77,2.3344,3.0667,3.0432,0.2613,0.6767,1.4249,3.4066,100
4749,华泰紫金天天金交易型货币B,2019-01-17,0.8223,3.119,3.3543,3.5157,3.4812,0.2895,0.7989,1.5859,3.4069,100
882,中金现金管家A,2019-01-17,0.2675,3.364,2.9603,3.0538,2.9706,0.2543,0.6799,1.4324,3.4102,100
1006,中信建投凤凰货币A,2019-01-17,0.6136,2.141,2.8471,3.1392,3.1188,0.2576,0.7456,1.5359,3.4112,100
3467,富荣货币A,2019-01-17,0.4497,1.822,2.0065,2.9104,2.8539,0.2422,0.6841,1.4297,3.4112,100
4903,人保货币A,2019-01-17,0.7414,2.803,2.8831,3.0827,2.9832,0.2546,0.6899,1.4054,3.4166,100
519508,万家货币A,2019-01-17,0.7152,2.645,2.7306,3.0901,3.0813,0.2669,0.721,1.5413,3.4167,100
301,德邦德利货币B,2019-01-17,0.6724,2.427,2.5443,3.6979,3.5388,0.3016,0.7246,1.4303,3.4171,5000000
80011,长盛货币A,2019-01-17,0.7089,2.607,2.6023,2.7011,2.7045,0.2275,0.6604,1.4207,3.4182,100
4787,渤海汇金汇添金货币B,2019-01-17,0.717,2.602,2.8028,2.8972,2.9892,0.2658,0.7203,1.4657,3.4187,5000000
204,国富日日收益货币B,2019-01-17,0.7036,3.139,3.664,3.0642,3.0107,0.2546,0.7053,1.4693,3.4205,5000000
4073,金元顺安金通宝货币B,2019-01-17,0.7186,2.597,2.7303,3.1409,3.0264,0.2578,0.6868,1.4141,3.428,5000000
2748,中欧货币D,2019-01-17,0.6847,2.451,2.6209,2.9388,2.8387,0.2437,0.6712,1.4246,3.4305,5000000
166015,中欧货币B,2019-01-17,0.6849,2.451,2.6211,2.9389,2.8387,0.2436,0.6712,1.4245,3.4305,5000000
707,景顺长城景丰货币B,2019-01-17,0.8043,3.285,3.2143,3.1807,3.0815,0.2658,0.7315,1.47,3.4339,5000000
100025,富国天时货币A,2019-01-17,0.6992,2.504,2.5605,2.8216,2.8266,0.2367,0.6882,1.4554,3.4354,100
425,长盛添利宝货币B,2019-01-17,0.476,2.364,2.6961,2.9025,2.9865,0.2514,0.6921,1.4426,3.4369,5000000
816,南方理财金交易型货币A,2019-01-17,0.6922,2.578,2.8236,2.8802,2.8882,0.2453,0.6864,1.4417,3.4372,100
2247,新疆前海联合海盈货币A,2019-01-17,0.7035,2.579,2.6279,3.2301,3.2688,0.2672,0.7175,1.4331,3.4381,100
217004,招商现金增值货币A,2019-01-17,0.6792,2.417,2.7364,3.4584,3.2708,0.2825,0.7098,1.5049,3.4404,100
847,中融货币A,2019-01-17,0.6988,2.627,2.619,2.8489,2.7895,0.2367,0.6772,1.4518,3.441,100
3252,大成添益交易型货币A,2019-01-17,0.7898,2.94,3.0361,3.0862,3.0122,0.2565,0.6853,1.4011,3.4449,100
150015,银河银富货币B,2019-01-17,0.7814,3.279,3.1994,3.3967,3.3422,0.2822,0.7745,1.4535,3.4473,5000000
730003,方正富邦货币A,2019-01-17,0.7003,2.584,3.0495,3.067,2.96,0.2526,0.6377,1.3908,3.4477,100
2960,博时合利货币,2019-01-17,0.6868,2.558,2.5696,3.2915,3.2195,0.2739,0.6097,1.3425,3.4478,100
50003,博时现金收益货币A,2019-01-17,0.7393,2.77,2.802,2.8252,2.8043,0.2361,0.6804,1.4397,3.45,100
4185,江信增利货币A,2019-01-17,0.7923,2.445,2.4597,2.9451,2.8745,0.2439,0.6788,1.4863,3.4504,100
4699,前海联合汇盈货币A,2019-01-17,0.7507,2.879,2.8889,3.124,3.0509,0.2588,0.7049,1.479,3.4504,100
