p_code,p_name,start_date,earning,earn_7d,earn_14d,earn_28d,earn_35d,path_1m,path_3m,path_6m,path_1y,start_money
005017,长江优享货币B,2019-01-18,0.7791,2.971,3.0015,3.3684,3.2507,0.2786,0.7495,1.5764,3.6984,5000000.0
202302,南方现金增利货币B,2019-01-19,0.778,2.923,2.991,3.0717,3.0868,0.2625,0.757,1.6321,3.8098,10000000.0
000709,华安汇财通货币,2019-01-19,0.7778,3.015,3.004,2.9895,2.9951,0.2514,0.7671,1.6372,3.7199,100.0
000773,万家现金宝A,2019-01-18,0.7774,2.88,2.9606,3.0353,3.0226,0.2537,0.7545,1.5517,3.4753,100.0
270014,广发货币B,2019-01-19,0.7772,2.839,2.8697,3.0239,3.0472,0.2602,0.746,1.5961,3.7677,5000000.0
001478,泰康薪意保货币B,2019-01-20,0.7758,2.964,3.2282,3.4636,3.3942,0.2892,0.7849,1.6643,3.8589,5000000.0
150015,银河银富货币B,2019-01-18,0.7758,3.246,3.1776,3.3762,3.3456,0.2817,0.7762,1.4533,3.4436,5000000.0
200103,长城货币B,2019-01-19,0.7752,3.109,3.1081,3.2277,3.2411,0.2732,0.7502,1.5654,3.6456,5000000.0
000379,平安日增利货币,2019-01-19,0.7748,2.977,3.0119,2.9839,2.9697,0.2499,0.7411,1.5921,3.6139,100.0
004120,国富安享货币,2019-01-20,0.7748,2.875,2.9389,3.1169,3.1427,0.2649,0.7791,1.626,3.7214,100.0
003752,工银如意货币A,2019-01-19,0.7747,2.864,2.9963,3.0943,3.0248,0.2564,0.7391,1.6126,3.744,100.0
000704,易方达天天增利货币A,2019-01-19,0.7743,2.957,2.9492,2.8198,2.8007,0.2357,0.7214,1.5657,3.693,100.0
730103,方正富邦货币B,2019-01-18,0.7742,2.833,3.2107,3.3157,3.21,0.2734,0.7,1.5115,3.6922,5000000.0
001937,兴银现金增利货币,2019-01-18,0.774,2.851,2.9473,3.3492,3.2537,0.2774,0.7341,1.5171,3.6253,100.0
004152,先锋日添利B,2019-01-18,0.7739,2.834,2.8835,3.2064,3.3689,0.2903,0.7472,1.4763,3.5419,5000000.0
001175,山证日日添利货币A,2019-01-18,0.7722,2.912,2.8518,2.9688,2.9644,0.2488,0.7236,1.4526,3.2438,100.0
100028,富国天时货币B,2019-01-18,0.7721,2.755,2.8002,3.0577,3.0751,0.2569,0.7492,1.5763,3.6818,5000000.0
519518,汇添富货币A,2019-01-18,0.7718,2.844,2.951,3.1186,3.1066,0.2616,0.7453,1.5738,3.6115,100.0
001234,国金众赢货币,2019-01-19,0.7717,3.14,3.2143,3.5381,3.8129,0.3088,0.8619,1.8033,3.9634,100.0
000846,中融货币C,2019-01-18,0.7705,2.87,2.8676,3.0951,3.0411,0.2575,0.7389,1.5734,3.686,5000000.0
003875,浙商日添金货币B,2019-01-18,0.7702,2.879,2.9019,3.045,3.004,0.2539,0.7056,1.5209,3.5876,5000000.0
000604,银华多利宝货币A,2019-01-18,0.7678,2.839,2.8872,3.028,3.0593,0.2585,0.7182,1.5561,3.6198,100.0
005230,长盛货币B,2019-01-18,0.7676,2.855,2.8353,2.9452,2.9512,0.2473,0.7214,1.5417,3.6627,5000000.0
